"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 21:33:31 MSK 2025","Fri May 16 21:33:32 MSK 2025","1558","","tests.CreateOrderTest","","tests.CreateOrderTest","createOrderWithoutAuthorizationTest","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё.","РЈСЃРїРµС€РЅРѕРµ СЃРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё."
"passed","Fri May 16 21:33:48 MSK 2025","Fri May 16 21:33:49 MSK 2025","360","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutNameAndEmailAndPasswordTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РІСЃРµС… РїРѕР»РµР№.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё, email, РїР°СЂРѕР»СЏ."
"passed","Fri May 16 21:33:50 MSK 2025","Fri May 16 21:33:52 MSK 2025","1268","","tests.UserCreatingTests","","tests.UserCreatingTests","checkCreateUserTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ.","Р РµРіРёСЃС‚СЂР°С†РёСЏ СѓРЅРёРєР°Р»СЊРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ c РєРѕСЂСЂРµРєС‚РЅС‹РјРё РґР°РЅРЅС‹РјРё."
"passed","Fri May 16 21:33:42 MSK 2025","Fri May 16 21:33:42 MSK 2025","335","","tests.LoginUserTests","","tests.LoginUserTests","authorizationIncorrectLoginTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ СЃ РЅРµРІРµСЂРЅС‹Рј Р»РѕРіРёРЅРѕРј.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ c РЅРµРєРѕСЂСЂРµРєС‚РЅС‹Рј Р»РѕРіРёРЅРѕРј."
"passed","Fri May 16 21:33:43 MSK 2025","Fri May 16 21:33:44 MSK 2025","1483","","tests.LoginUserTests","","tests.LoginUserTests","authorizationTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ РїРѕРґ СЃСѓС‰РµСЃС‚РІСѓСЋС‰РµРј Р»РѕРіРёРЅРѕРј"
"passed","Fri May 16 21:33:49 MSK 2025","Fri May 16 21:33:49 MSK 2025","487","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutEmailTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· email.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· email, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё РёРјРµРЅРµРј Рё РїР°СЂРѕР»РµРј"
"passed","Fri May 16 21:33:53 MSK 2025","Fri May 16 21:33:54 MSK 2025","338","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutEmailAndPasswordTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· email Рё РїР°СЂРѕР»СЏ.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· email Рё РїР°СЂРѕР»СЏ, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё РёРјРµРЅРµРј."
"passed","Fri May 16 21:33:40 MSK 2025","Fri May 16 21:33:42 MSK 2025","1476","","tests.CreateOrderTest","","tests.CreateOrderTest","createEmptyOrderWithAuthorization","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° Р±РµР· РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№.","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ Р·Р°РєР°Р·Р° Р±РµР· РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№."
"passed","Fri May 16 21:33:47 MSK 2025","Fri May 16 21:33:48 MSK 2025","1386","","tests.OrderGetTests","","tests.OrderGetTests","getUserOrderWithoutAuthorizationTest","РџРѕР»СѓС‡РµРЅРёРµ СЃРїРёСЃРєР° Р·Р°РєР°Р·РѕРІ Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё.","РќРµСѓСЃРїРµС€РЅР°СЏ РїСЂРѕРІРµСЂРєР° РїРѕР»СѓС‡РµРЅРёРµ СЃРїРёСЃРєР° Р·Р°РєР°Р·РѕРІ Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё."
"passed","Fri May 16 21:33:44 MSK 2025","Fri May 16 21:33:45 MSK 2025","343","","tests.LoginUserTests","","tests.LoginUserTests","authorizationWithoutPasswordTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ Р±РµР· РїР°СЂРѕР»СЏ.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїР°СЂРѕР»СЏ"
